command,family,name,audience,privilege,status,source_line,note
set/obscount,set,obscount,SYSOP,8,verified,73,
set/page,set,page,REVIEW,,not_yet_verified,74,Requires current help/code verification before publication.
set/passphrase,set,passphrase,REVIEW,,not_yet_verified,75,Requires current help/code verification before publication.
set/password,set,password,DUAL,0 / 9,verified,76,Own-password form is user-level; targeted form requires privilege 9.
set/pinginterval,set,pinginterval,SYSOP,9,verified,77,
set/privilege,set,privilege,SYSOP,9,verified,79,
set/prompt,set,prompt,USER,0,verified,81,
set/qra,set,qra,USER,0,verified,82,
set/qth,set,qth,USER,0,verified,84,
set/rbn,set,rbn,SYSOP,9,verified,85,
set/register,set,register,SYSOP,9,verified,86,
set/routepc19,set,routepc19,REVIEW,,not_yet_verified,88,Requires current help/code verification before publication.
set/seeme,set,seeme,REVIEW,,not_yet_verified,92,Requires current help/code verification before publication.
set/seemee,set,seemee,REVIEW,,not_yet_verified,93,Requires current help/code verification before publication.
set/send_dbg,set,send_dbg,REVIEW,,not_yet_verified,94,Requires current help/code verification before publication.
set/sendpc16,set,sendpc16,REVIEW,,not_yet_verified,95,Requires current help/code verification before publication.
set/spider,set,spider,REVIEW,,not_yet_verified,96,Requires current help/code verification before publication.
set/startup,set,startup,REVIEW,,not_yet_verified,98,Requires current help/code verification before publication.
set/sys_location,set,sys_location,SYSOP,9,verified,,
set/sys_qra,set,sys_qra,SYSOP,9,verified,,
set/talk,set,talk,REVIEW,,not_yet_verified,101,Requires current help/code verification before publication.
set/usdb,set,usdb,SYSOP,9,verified,103,
set/user,set,user,REVIEW,,not_yet_verified,104,Requires current help/code verification before publication.
set/uservar,set,uservar,REVIEW,handler checks 9,code_review_required,105,Keep unpublished until exact semantics and access path are resolved.
set/usstate,set,usstate,USER,0,verified,106,
set/var,set,var,REVIEW,,not_yet_verified,107,Requires current help/code verification before publication.
set/ve7cc,set,ve7cc,REVIEW,,not_yet_verified,108,Requires current help/code verification before publication.
set/wantpc16,set,wantpc16,REVIEW,,not_yet_verified,112,Requires current help/code verification before publication.
set/wantpc9x,set,wantpc9x,REVIEW,,not_yet_verified,113,Requires current help/code verification before publication.
set/wantrbn,set,wantrbn,USER,0,verified,114,
set/wcy,set,wcy,USER,0,verified,115,
set/width,set,width,USER,code: current user,code_verified_help_missing,116,Exists in code; updates active width and stored user width; absent from help/manual/wiki.
set/wwv,set,wwv,USER,0,verified,118,
set/wx,set,wx,USER,0,verified,119,
show/425,show,425,REVIEW,,not_yet_verified,3,Requires current help/code verification before publication.
show/announce,show,announce,USER,0,verified,4,
show/baddx,show,baddx,SYSOP,1,verified,10,
show/badip,show,badip,REVIEW,,not_yet_verified,11,Requires current help/code verification before publication.
show/badnode,show,badnode,SYSOP,1,verified,12,
show/badspotter,show,badspotter,SYSOP,1,verified,13,
show/badword,show,badword,REVIEW,,not_yet_verified,14,Requires current help/code verification before publication.
show/bands,show,bands,USER,0,verified,15,
show/buddy,show,buddy,USER,0,verified,19,
show/chat,show,chat,USER,0,verified,21,
show/cluster,show,cluster,REVIEW,,not_yet_verified,22,Requires current help/code verification before publication.
show/cmd_cache,show,cmd_cache,SYSOP,9,verified,23,
show/configuration,show,configuration,USER,0,verified,24,
show/connect,show,connect,SYSOP,1,verified,25,
show/contest,show,contest,USER,0,verified,26,
show/data_stats,show,data_stats,REVIEW,,not_yet_verified,27,Requires current help/code verification before publication.
show/date,show,date,USER,0,verified,28,
show/db0sdx,show,db0sdx,USER,0,verified,29,
show/debug,show,debug,SYSOP,9,verified,30,
show/debug_ring,show,debug_ring,REVIEW,,not_yet_verified,31,Requires current help/code verification before publication.
show/dup_ann,show,dup_ann,REVIEW,,not_yet_verified,32,Requires current help/code verification before publication.
show/dup_eph,show,dup_eph,REVIEW,,not_yet_verified,33,Requires current help/code verification before publication.
show/dup_spots,show,dup_spots,REVIEW,,not_yet_verified,34,Requires current help/code verification before publication.
show/dup_wcy,show,dup_wcy,REVIEW,,not_yet_verified,35,Requires current help/code verification before publication.
show/dup_wwv,show,dup_wwv,REVIEW,,not_yet_verified,36,Requires current help/code verification before publication.
show/dx,show,dx,USER,0,verified,37,
show/dxqsl,show,dxqsl,USER,0,verified,42,
show/dxstats,show,dxstats,USER,0,verified,43,
show/external_ip,show,external_ip,REVIEW,,not_yet_verified,46,Requires current help/code verification before publication.
show/files,show,files,USER,0,verified,47,
show/filter,show,filter,USER,0,verified,48,
show/grayline,show,grayline,USER,0,verified,49,
show/groups,show,groups,REVIEW,,not_yet_verified,50,Requires current help/code verification before publication.
show/heading,show,heading,REVIEW,,not_yet_verified,52,Requires current help/code verification before publication.
show/hfstats,show,hfstats,USER,0,verified,54,
show/hftable,show,hftable,USER,0,verified,55,
show/hops,show,hops,SYSOP,8,verified,56,
show/ik3qar,show,ik3qar,USER,0,verified,57,
show/isolate,show,isolate,SYSOP,1,verified,58,
show/lockout,show,lockout,SYSOP,9,verified,62,
show/log,show,log,SYSOP,8,verified,64,
show/moon,show,moon,USER,0,verified,66,
show/motd,show,motd,USER,0,verified,67,
show/msg_status,show,msg_status,REVIEW,,not_yet_verified,68,Requires current help/code verification before publication.
show/muf,show,muf,USER,0,verified,69,
show/newconfiguration,show,newconfiguration,USER,0,verified,71,
show/node,show,node,REVIEW,,not_yet_verified,72,Requires current help/code verification before publication.
show/prefix,show,prefix,USER,0,verified,78,
show/program,show,program,REVIEW,,not_yet_verified,80,Requires current help/code verification before publication.
show/qra,show,qra,USER,0,verified,82,
show/qrz,show,qrz,USER,0,verified,83,
show/rbn,show,rbn,SYSOP,1,verified,85,
show/rcmd,show,rcmd,SYSOP,9,verified,89,
show/registered,show,registered,SYSOP,9,verified,90,
show/route,show,route,USER,0,verified,87,
show/satellite,show,satellite,USER,0,verified,91,
show/seeme,show,seeme,REVIEW,,not_yet_verified,92,Requires current help/code verification before publication.
show/spotstats,show,spotstats,SYSOP,1,verified,97,
show/startup,show,startup,DUAL,0 / 6,verified,98,Own startup script is user-level; another callsign requires privilege 6.
show/station,show,station,DUAL,0 / 6,verified,99,Normal lookup is user-level; SHOW/STATION ALL requires privilege 6.
show/sun,show,sun,USER,0,verified,100,
show/talk,show,talk,REVIEW,,not_yet_verified,101,Requires current help/code verification before publication.
show/time,show,time,USER,0,verified,102,
show/usdb,show,usdb,USER,0,verified,103,
show/users,show,users,REVIEW,unknown,code_present_help_missing,,"Exists in code; no current help entry found, so audience is intentionally unresolved."
show/var,show,var,REVIEW,,not_yet_verified,107,Requires current help/code verification before publication.
show/version,show,version,REVIEW,,not_yet_verified,109,Requires current help/code verification before publication.
show/vhfstats,show,vhfstats,USER,0,verified,110,
show/vhftable,show,vhftable,USER,0,verified,111,
show/wcy,show,wcy,USER,0,verified,115,
show/wm7d,show,wm7d,USER,0,verified,117,
show/wwv,show,wwv,USER,0,verified,118,
show/wx,show,wx,REVIEW,,not_yet_verified,119,Requires current help/code verification before publication.
stat/channel,stat,channel,REVIEW,,not_yet_verified,159,Requires current help/code verification before publication.
stat/db,stat,db,REVIEW,,not_yet_verified,160,Requires current help/code verification before publication.
stat/msg,stat,msg,REVIEW,,not_yet_verified,161,Requires current help/code verification before publication.
stat/nodeconfig,stat,nodeconfig,REVIEW,,not_yet_verified,162,Requires current help/code verification before publication.
stat/pc19list,stat,pc19list,REVIEW,,not_yet_verified,163,Requires current help/code verification before publication.
stat/route,stat,route,REVIEW,,not_yet_verified,164,Requires current help/code verification before publication.
stat/route_node,stat,route_node,REVIEW,,not_yet_verified,165,Requires current help/code verification before publication.
stat/route_user,stat,route_user,REVIEW,,not_yet_verified,166,Requires current help/code verification before publication.
stat/user,stat,user,REVIEW,,not_yet_verified,167,Requires current help/code verification before publication.
stat/userconfig,stat,userconfig,REVIEW,,not_yet_verified,168,Requires current help/code verification before publication.
unset/agwengine,unset,agwengine,SYSOP,9,verified,6,
unset/agwmonitor,unset,agwmonitor,SYSOP,9,verified,7,
unset/announce,unset,announce,USER,0,verified,4,
unset/anntalk,unset,anntalk,USER,0,verified,8,
unset/baddx,unset,baddx,SYSOP,6,verified,10,
unset/badnode,unset,badnode,SYSOP,6,verified,12,
unset/badspotter,unset,badspotter,SYSOP,6,verified,13,
unset/badword,unset,badword,SYSOP,6,verified,14,
unset/beep,unset,beep,USER,0,verified,17,
unset/believe,unset,believe,REVIEW,,not_yet_verified,18,Requires current help/code verification before publication.
unset/buddy,unset,buddy,USER,0,verified,19,
unset/debug,unset,debug,SYSOP,9,verified,30,
unset/dx,unset,dx,USER,0,verified,37,
unset/dxcq,unset,dxcq,USER,0,verified,38,
unset/dxgrid,unset,dxgrid,USER,0,verified,39,
unset/dxitu,unset,dxitu,USER,0,verified,40,
unset/echo,unset,echo,USER,0,verified,44,
unset/email,unset,email,USER,0,verified,45,
unset/gtk,unset,gtk,REVIEW,,not_yet_verified,51,Requires current help/code verification before publication.
unset/here,unset,here,USER,0,verified,53,
unset/hops,unset,hops,SYSOP,8,verified,56,
unset/isolate,unset,isolate,SYSOP,9,verified,58,
unset/local_node,unset,local_node,SYSOP,5,verified,60,
unset/lockout,unset,lockout,SYSOP,9,verified,62,
unset/logininfo,unset,logininfo,USER,0,verified,63,
unset/passphrase,unset,passphrase,REVIEW,,not_yet_verified,75,Requires current help/code verification before publication.
unset/password,unset,password,SYSOP,9,verified,76,
unset/privilege,unset,privilege,REVIEW,,not_yet_verified,79,Requires current help/code verification before publication.
unset/prompt,unset,prompt,USER,0,verified,81,
unset/register,unset,register,SYSOP,9,verified,86,
unset/routepc19,unset,routepc19,REVIEW,,not_yet_verified,88,Requires current help/code verification before publication.
unset/seeme,unset,seeme,REVIEW,,not_yet_verified,92,Requires current help/code verification before publication.
unset/send_dbg,unset,send_dbg,REVIEW,,not_yet_verified,94,Requires current help/code verification before publication.
unset/sendpc16,unset,sendpc16,REVIEW,,not_yet_verified,95,Requires current help/code verification before publication.
unset/startup,unset,startup,REVIEW,,not_yet_verified,98,Requires current help/code verification before publication.
unset/talk,unset,talk,REVIEW,,not_yet_verified,101,Requires current help/code verification before publication.
unset/usstate,unset,usstate,USER,0,verified,106,
unset/ve7cc,unset,ve7cc,REVIEW,,not_yet_verified,108,Requires current help/code verification before publication.
unset/wantpc16,unset,wantpc16,REVIEW,,not_yet_verified,112,Requires current help/code verification before publication.
unset/wantpc9x,unset,wantpc9x,REVIEW,,not_yet_verified,113,Requires current help/code verification before publication.
unset/wantrbn,unset,wantrbn,USER,0,verified,114,
unset/wcy,unset,wcy,USER,0,verified,115,
unset/wwv,unset,wwv,USER,0,verified,118,
unset/wx,unset,wx,USER,0,verified,119,
